"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"San Francisco-Oakland-Fremont, CA Metro Area","4,335,391","58,805","32,013","21,486","21,289","21,535","18,626","12,378","9,990","12,459","14,392","13,597","13,930","9,276","11,642","6,980","6,285","5,323","6,901","7,520","5,454","6,451","6,160","4,523","8,163","7,344","5,597","7,069","5,953","4,336","5,426","5,420","4,652","3,430","4,951","2,851","7,029","3,692","4,762","3,086","2,522","4,036","1,870","1,064",44,388,"1,652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Detroit-Warren-Livonia, MI Metro Area","4,296,250","6,963","6,691","6,230","5,902","7,280","6,347","6,627","6,583","6,497","6,228","5,729","5,268","5,176","4,328","4,424","3,953","4,182","3,536","3,216","2,837","3,319","2,973","2,833","2,554","2,324","2,471","2,495","2,460","2,059","1,689","1,222","1,349","1,624","1,636",503,828,753,610,764,"1,198",780,454,465,443,"1,169",503,391,887,264,"1,281",631,"1,133","1,239","1,668","1,922","1,190","2,267",623,191,0,156,0,0,0,128,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside-San Bernardino-Ontario, CA Metro Area","4,224,851","4,485","6,302","5,133","4,453","3,614","5,312","4,307","7,119","6,264","6,551","5,580","5,382","4,762","4,419","5,815","6,418","6,010","5,589","4,089","5,109","3,900","2,420","2,403","2,359","2,211","1,323","2,539","3,523","3,345","3,079","3,381","2,003","3,294","2,043","2,792","2,936","2,081","3,108","2,649","1,439",183,639,0,10,0,0,72,114,"2,357","2,405","2,735","1,288","2,771","6,822","3,115",625,504,"1,023",79,"3,030","2,269",927,954,"1,792","3,268","2,289","2,950","4,480","4,084","5,722","1,278","6,048","4,654",167,753,0,485,9,0,0,0,2,136,0,0,0,1,0,0,0,0
"Phoenix-Mesa-Glendale, AZ Metro Area","4,192,887","4,522","3,934","5,289","7,401","7,053","6,274","6,730","5,211","6,909","5,804","5,178","4,533","5,216","5,698","4,893","4,546","4,704","4,300","3,738","3,541","2,989","2,594","2,697","2,733","3,074","2,348","2,802","2,505","2,006","2,232","1,457","1,052",757,"4,806","1,379",264,"1,271",6,"1,380",41,483,"1,003","1,575","2,084","1,200",384,238,27,0,"1,739",143,87,613,"1,061",413,0,"1,067",61,0,0,0,0,0,16,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seattle-Tacoma-Bellevue, WA Metro Area","3,439,809","22,070","17,819","10,130","8,377","9,608","7,928","6,750","5,246","4,815","4,920","4,327","4,221","3,630","3,450","3,582","4,216","3,036","6,133","3,469","3,549","4,006","3,610","3,259","3,609","3,508","3,393","3,398","3,191","3,347","3,145","3,343","2,814","2,847","2,105","3,023","1,770","2,275","1,276",676,"1,221",589,"1,382",85,169,348,162,0,83,0,0,0,29,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3,279,833","12,877","12,790","9,448","5,737","5,809","5,246","4,827","4,734","4,437","3,943","3,301","3,504","2,788","2,637","2,449","2,382","2,171","2,365","1,612","1,673","1,469",979,721,"1,506",993,"1,144",519,314,388,247,50,56,"1,222",261,81,350,121,138,369,116,275,114,108,0,90,105,43,51,71,82,61,0,32,31,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Diego-Carlsbad-San Marcos, CA Metro Area","3,095,313","13,170","12,745","10,845","12,694","13,047","9,413","7,767","8,312","6,525","6,375","9,251","8,220","6,875","7,037","6,092","4,380","4,792","3,405","2,933","3,153","2,365","1,385","4,194","4,060","1,790","3,348","3,982","3,764","3,436","10,317","4,731","2,133","5,218","5,613","9,056","5,148","4,750","4,350","4,048",631,53,0,209,228,0,"4,965","3,538",71,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St. Louis, MO-IL Metro Area","2,812,896","5,020","5,068","6,802","7,981","5,793","5,373","5,772","4,168","3,830","3,063","2,857","3,364","2,878","2,031","2,636","2,386","1,665","2,310","2,362","2,480","1,994","1,460","2,138","1,897","2,255","1,018",785,"2,058","1,461","1,730","2,425","1,674",672,352,735,49,445,407,329,"1,163",236,132,16,603,125,311,523,131,541,37,46,72,264,48,83,33,154,55,287,129,0,63,0,0,713,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL Metro Area","2,783,243","7,869","5,486","5,010","4,186","4,760","4,524","4,515","3,951","4,329","4,741","2,674","3,007","2,084","3,089","2,405","3,003","3,389","3,502","3,538","3,741","3,516","3,392","3,274","2,369","2,807","2,602","2,359","3,243","3,155","1,960","1,690","1,920",644,"1,433","1,047","1,754","2,020","1,770","1,878",809,0,"1,023",442,98,0,0,160,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baltimore-Towson, MD Metro Area","2,710,489","24,901","17,349","14,523","10,078","8,549","6,891","6,473","5,091","5,587","4,249","3,732","3,438","3,274","3,526","2,681","2,742","2,830","1,587","2,711","2,217","2,700","1,681","2,183","4,337","1,750",786,492,"1,107",538,"1,187",242,372,"1,680",143,453,156,0,125,513,150,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
