"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Louisville/Jefferson County, KY-IN Metro Area","1,283,566","5,952","6,174","4,561","4,991","4,169","3,440","3,411","3,592","2,711","2,483","2,720","2,531","2,198","1,992",663,489,145,733,965,222,357,202,125,567,147,599,56,868,"1,355",455,437,103,131,0,425,39,40,71,0,29,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Richmond, VA Metro Area","1,258,251","7,097","7,958","6,302","2,843","2,850","2,569","2,501","1,981","2,078","3,074","2,034","1,896","1,836","1,679","1,145","1,219",986,"1,030","1,542","1,000","2,357",828,"1,360",940,654,91,109,41,73,53,72,59,83,0,163,0,310,43,26,61,15,0,39,0,52,0,57,0,0,0,0,44,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oklahoma City, OK Metro Area","1,252,987","5,749","3,862","4,611","4,305","3,953","3,810","3,689","3,366","3,714","2,432","2,768","1,952","3,153","2,354",723,905,"2,098","1,643","4,118","1,753",359,176,0,229,500,"2,859",0,68,522,430,0,25,382,87,0,16,207,"1,304",625,433,0,32,28,0,0,37,15,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hartford-West Hartford-East Hartford, CT Metro Area","1,212,381","13,341","12,326","7,236","3,169","2,893","1,663","2,548","3,051","5,258","2,600","1,205","2,365","1,505","1,804","1,786","1,622","1,594",900,583,"1,369",399,"6,560",274,"1,129",185,108,167,185,0,343,0,642,694,0,665,0,"1,010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Orleans-Metairie-Kenner, LA Metro Area","1,167,764","6,728","10,426","7,614","5,211","5,887","4,508","5,720","4,454","4,275","4,008","5,837","4,769","5,790","1,023",105,389,754,"1,478","1,050",0,"2,557",170,1,58,27,"2,348","2,540",999,"1,326","1,383","1,606","1,203","1,340",239,"1,348",420,"1,183",174,0,383,0,0,122,154,69,107,19,0,0,0,0,0,0,229,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buffalo-Niagara Falls, NY Metro Area","1,135,509","8,249","9,762","9,200","6,756","8,896","7,401","4,548","3,729","2,794","3,195","2,846","1,769","1,104","1,989","1,785",806,"2,708","3,128","1,481",912,592,"1,731","2,051",0,76,105,400,660,723,"1,555",722,125,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raleigh-Cary, NC Metro Area","1,130,490","4,777","4,768","3,709","2,866","2,062","2,944","2,600","2,446","2,602","1,817","1,630","2,127","1,539","1,484",743,778,626,156,420,239,270,160,0,126,231,564,313,149,122,164,128,0,0,114,51,54,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birmingham-Hoover, AL Metro Area","1,128,047","3,215","4,456","3,212","2,815","2,766","2,538","1,615","1,918","1,487","1,952","2,018","1,461","1,394",816,605,504,"1,052",681,783,452,497,105,336,611,114,117,133,104,296,152,271,0,229,111,21,234,162,76,42,38,55,106,0,0,0,55,253,65,57,242,67,25,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salt Lake City, UT Metro Area","1,124,197","8,629","7,046","6,244","6,181","5,013","6,493","4,985","4,920","5,102","5,450","5,353","5,039","2,903","4,403","3,182","2,650","2,318","2,669","2,706",550,304,308,47,0,490,"4,050","2,100","1,915",0,0,0,16,530,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rochester, NY Metro Area","1,054,323","7,567","9,729","7,867","3,904","3,343","2,681","2,761","1,618","1,769","1,491","1,082",744,552,262,371,463,827,432,"1,086",452,"1,643",130,192,204,993,"1,386",618,"1,539",92,"1,433",83,101,614,57,54,438,0,"2,291",61,449,0,"1,971",114,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tucson, AZ Metro Area","980,263","4,840","6,086","4,764","4,487","5,306","4,555","3,613","3,181","2,869","3,641","2,319","2,307","1,390","1,827","1,575",242,"1,243",476,0,673,97,134,0,990,411,"1,674",0,287,0,48,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Honolulu, HI Metro Area","953,207","23,277","24,061","26,980","23,446","10,982","5,460","4,524","7,531","4,891","6,803","8,457","8,834","4,555","4,460","6,122","3,320","7,100","2,390","5,048",276,45,"3,302","3,224",720,"2,475","2,711",261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulsa, OK Metro Area","937,478","2,865","3,298","4,134","3,116","2,891","4,075","2,093","4,185","3,489","2,951","2,153","1,505","2,412","1,484","1,125",625,383,331,510,268,144,81,914,881,997,38,144,19,79,101,35,82,0,52,23,81,603,488,14,39,428,0,42,0,0,7,100,0,79,159,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fresno, CA Metro Area","930,450","8,030","7,352","6,523","6,700","5,961","5,202","4,490","4,089","3,895","3,568","2,532",513,"1,552","1,683",537,"1,657","1,089",280,0,"1,335",722,"3,945",0,21,35,22,364,742,0,0,0,0,2,224,13,0,0,0,127,26,0,24,0,0,0,0,0,7,4,"4,636",0,0,"1,392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bridgeport-Stamford-Norwalk, CT Metro Area","916,829","18,365","12,371","7,089","4,000","2,125",924,"1,570","1,080","1,314","1,215","2,256","2,323","3,189","6,630","1,516","2,160",775,"2,524","4,902","7,838","8,602","4,152","1,655","1,572","5,137",898,"4,684","4,333",0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albuquerque, NM Metro Area","887,077","4,055","3,834","4,000","4,685","4,897","5,303","4,588","4,213","4,923","3,432","1,374","2,520",869,158,"1,452","2,831",543,"1,803",415,141,939,32,165,368,427,45,0,0,71,680,620,631,0,0,117,49,10,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albany-Schenectady-Troy, NY Metro Area","870,716","11,791","8,224","3,417","2,466","2,475","3,172","3,587","3,860","2,018","1,769","2,518","1,766","1,909","5,445","5,288","1,823","3,910","1,519",249,32,448,459,129,0,30,"3,319","1,077",138,490,"2,129","4,432",0,"1,722",726,203,107,176,"5,763",0,50,51,601,0,635,"1,637",0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Omaha-Council Bluffs, NE-IA Metro Area","865,350","7,048","6,179","5,145","4,331","4,378","2,828","3,128","2,862","3,279","2,996","2,920","3,637","4,383","2,096","1,285",219,141,518,165,32,18,287,263,13,40,20,21,73,0,17,0,0,22,22,34,199,29,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Haven-Milford, CT Metro Area","862,477","14,677","9,973","5,694","4,514","2,747","2,097","1,508","1,788","2,979","1,469","1,385","2,640","1,201","1,157","1,017","1,595","3,464","5,473","5,385","3,792","2,435",471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dayton, OH Metro Area","841,502","3,363","5,281","4,866","4,468","2,916","2,761","1,983","2,250","3,154","2,023","1,392",747,454,"1,235",588,444,506,681,678,466,404,113,77,771,43,104,667,759,95,0,28,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bakersfield-Delano, CA Metro Area","839,631","5,640","5,026","7,176","5,279","5,294","3,963","3,123",784,649,"4,042",498,26,0,0,0,"3,023","3,335",599,21,0,21,0,0,"4,337","2,202",8,"1,842",0,"1,203","4,034","3,216","6,156","2,623",83,"1,752",0,892,3,243,5,0,13,0,0,0,0,0,0,0,0,0,0,190,0,0,0,38,0,0,"1,360","1,405",59,"1,198",0,0,7,0,0,7,0,0,0,0,23,0,0,"2,099","2,776","1,597",19,101,0,0,0,0,0,0,0,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","823,318","11,945","10,405","9,482","11,210","6,458","5,914","1,648","5,190","3,456","4,054","3,587","5,459","4,612","2,793","1,350","2,374","1,412","3,644","2,939","3,403","1,080","1,878","1,896","4,697","5,055","5,891","3,159","3,528","4,379","4,310",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","821,173","21,130","8,613","2,880","3,929","6,884","3,555","2,460","2,150","1,398","1,045",226,"1,516","1,593","4,198","5,301","3,655","2,298",527,390,671,"1,272","1,274","3,229",250,0,526,732,"1,308",434,0,0,118,32,0,259,118,287,"3,092","1,317",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baton Rouge, LA Metro Area","802,484","2,778","4,115","4,068","2,557","3,129","1,495","2,485","3,141","3,450","1,864",992,"1,072","1,713",432,"1,007",802,248,"1,372",328,500,555,994,75,322,116,114,65,297,52,0,0,0,51,0,23,98,0,0,35,0,0,0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Paso, TX Metro Area","800,647","8,502","4,716","3,779","5,158","4,772","4,257","3,586","5,129","5,650","4,662","5,144","6,122","5,118","3,317","3,439",811,901,"2,332","1,159",691,266,171,80,0,0,19,260,0,0,349,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Worcester, MA Metro Area","798,552","14,577","10,119","3,840","3,636","1,743","1,275",562,757,704,"1,027","1,101",412,"1,613",449,949,"1,752","1,954","1,734","1,611","2,035",762,"3,566","3,638","1,296",804,251,37,158,0,0,207,538,349,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McAllen-Edinburg-Mission, TX Metro Area","774,769","4,101","3,121","4,350","3,138","3,422","2,308","2,422","2,229","2,217","1,798",954,"1,776",693,879,"2,021","1,293","1,528",486,125,444,794,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grand Rapids-Wyoming, MI Metro Area","774,160","5,829","6,242","6,032","3,526","3,242","2,898","2,469","2,546","1,571","1,069",454,336,973,424,249,225,285,0,707,186,168,108,114,531,322,191,78,169,"2,215",280,461,84,0,0,79,93,71,346,107,0,114,0,48,0,45,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia, SC Metro Area","767,598","2,839","4,630","2,908","2,222","2,208","2,111","2,110","1,953","1,134","1,007","1,631","1,168","1,744","1,234","1,291",419,228,240,462,209,157,126,168,118,71,317,73,0,80,398,126,16,19,245,0,19,22,41,0,25,0,75,0,0,46,0,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greensboro-High Point, NC Metro Area","723,801","4,671","4,378","2,829","2,561","2,891","1,438","1,480","1,528","1,113",307,895,"1,403",992,"2,446",881,"1,307","1,098",294,434,310,398,349,"1,169",118,506,673,464,95,404,363,627,252,44,43,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akron, OH Metro Area","703,200","4,414","5,427","4,513","3,756","3,220","2,555","1,470","1,771","1,844","1,163","4,730",563,"1,145",652,"1,004",894,"1,712",860,"2,214",528,0,212,119,0,119,134,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Port-Bradenton-Sarasota, FL Metro Area","702,281",0,"1,663",820,"1,450","3,291",0,0,0,0,554,997,"1,799","2,026","3,009","1,195","2,506",747,0,"1,131","1,071","2,365","1,920","3,355","3,305","2,752","2,834","2,294","2,985","3,202","2,245","2,005",853,"2,357","3,353","3,129","4,630","3,787","2,298","2,420","1,826",958,"1,958",356,0,"2,297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little Rock-North Little Rock-Conway, AR Metro Area","699,757","1,290","2,825","2,714","3,129","2,282","2,540","2,170","3,059","1,269","1,653","1,161",962,"1,467",744,168,678,117,218,306,520,"1,223",677,467,591,"1,085","1,646","2,784",929,80,21,10,145,244,29,131,20,31,0,0,56,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knoxville, TN Metro Area","698,030","6,414","3,523","1,873","2,186","1,905","1,509","1,492","1,476","1,461","1,456","1,093","1,132",808,"1,559",661,"1,285",344,834,"1,045",426,497,222,982,899,79,229,344,27,0,289,173,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Springfield, MA Metro Area","692,942","8,292","8,612","4,690","3,373","2,279","2,540","3,403","3,780","3,020",740,"2,283",715,845,0,724,"3,092",730,205,920,"1,067","9,552","1,095",82,40,151,0,49,158,32,47,0,0,150,"3,791","2,077",139,377,150,0,79,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stockton, CA Metro Area","685,306","6,740","5,497","6,686","6,100","4,917","6,783","5,551","1,986","5,423","2,492","6,740","5,602","4,165","1,136",156,"7,871","2,538","3,641","1,943","4,025",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poughkeepsie-Newburgh-Middletown, NY Metro Area","670,301","8,657","4,258","1,745","1,324",903,985,538,"1,909",664,838,687,831,977,"1,562","3,898","5,812","2,092","1,014","1,263",622,377,276,"1,184","2,249",208,329,458,"7,250","8,896","1,683","4,552","2,317","1,994",0,350,216,0,77,955,190,174,0,129,0,0,"4,393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charleston-North Charleston-Summerville, SC Metro Area","664,607","9,961","7,057","2,992","1,901","2,561","1,535","2,276","2,342","1,007","1,700","1,084",870,"1,451","2,904","2,236","1,924",856,"2,388","2,606","2,217","1,885","2,515","1,271","1,342",570,317,213,924,384,261,83,0,0,0,0,45,140,0,0,0,0,0,60,0,0,34,0,83,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syracuse, NY Metro Area","662,577","10,596","8,859","5,578","2,087","2,090","2,805","1,665","2,013","1,973","1,303",839,409,861,589,536,199,79,304,0,157,658,0,"1,102","1,664",152,"2,238",83,64,112,288,92,169,"2,389","1,947",634,181,0,0,0,0,93,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toledo, OH Metro Area","651,429","4,616","5,788","3,697","4,887","3,886","3,189","3,066","2,081","2,352","2,274","1,529",534,166,166,416,71,437,89,0,"2,896","2,969",356,347,71,224,0,65,54,0,0,98,777,957,297,0,0,565,0,251,0,282,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Springs, CO Metro Area","645,613","4,368","3,845","3,930","4,267","4,031","4,200","3,747","3,746","3,478","4,059","1,207","1,393",681,176,974,129,420,557,66,629,0,32,33,0,0,0,0,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenville-Mauldin-Easley, SC Metro Area","636,986","2,927","2,798","2,696","2,334","1,527","1,630","1,573","1,423","1,732",951,836,"2,018",980,483,161,616,128,256,0,63,71,209,0,327,141,"1,217","1,579",750,0,0,73,215,"1,034",0,110,60,0,0,425,40,188,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wichita, KS Metro Area","623,061","3,001","4,205","4,330","3,883","3,557","2,887","2,122","2,069","1,484","1,014",720,"3,364",331,300,340,271,29,38,43,"1,739",466,26,62,610,0,350,"2,111","2,240",663,155,24,8,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Coral-Fort Myers, FL Metro Area","618,754","2,510","2,873","2,898","1,943","1,893","2,430","2,814","2,353","2,092","1,309",868,755,871,"1,993","2,570","1,323","1,355",674,"1,194","1,175",993,964,"1,975","1,179",447,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boise City-Nampa, ID Metro Area","616,561","2,435","4,435","3,871","3,500","3,692","3,201","2,917","2,207","2,386","2,022","1,522","1,086",0,495,192,0,"1,378","2,368","2,664","2,579","1,834","1,174",276,"1,559","2,465",29,0,125,90,0,0,64,0,0,0,95,0,96,0,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lakeland-Winter Haven, FL Metro Area","602,095","4,661","3,382","2,830","2,145","1,635","1,559","1,772","1,091","1,633","1,236",707,"2,162","1,684","1,281","2,183","1,070",852,"1,428",869,294,"1,017",828,"2,302",475,457,659,"1,045",451,0,681,66,71,474,0,26,0,83,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Des Moines-West Des Moines, IA Metro Area","569,633","3,577","4,783","4,754","3,102","2,606","2,738","3,350","1,832","1,632","1,170","1,914",971,"1,477","3,383",77,"1,792","1,138",50,62,0,34,78,0,22,0,0,0,836,43,0,710,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madison, WI Metro Area","568,593","30,078","9,224","4,760","3,666","3,167","1,785","2,924","2,140","1,050",805,533,"2,011","1,381",485,0,0,65,83,293,118,82,0,0,104,37,322,39,0,0,27,34,0,81,603,0,0,29,0,203,0,0,54,58,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Youngstown-Warren-Boardman, OH-PA Metro Area","565,773","1,615","2,071","3,195","2,364","2,773","1,693",981,"1,944","1,486",171,927,"2,043","2,605","1,859","1,439",303,665,631,121,0,140,97,113,561,83,"1,716",178,113,0,"3,139",116,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scranton--Wilkes-Barre, PA Metro Area","563,631","9,142","6,242","2,018",795,"1,957",629,"1,640",529,"1,643","2,536",707,"1,049","1,012","1,869","2,343","4,496","4,446","3,468","2,630","1,924",527,55,"2,953","1,811",0,321,116,72,79,"3,363",276,"1,854",0,164,"3,966","6,086",147,77,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Augusta-Richmond County, GA-SC Metro Area","556,877","2,580","1,346","2,898","1,815","2,339","2,228","1,188","1,395","1,565","1,442",997,"1,203",652,689,386,795,70,132,184,0,32,94,43,0,46,64,0,0,37,295,31,129,172,0,34,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harrisburg-Carlisle, PA Metro Area","549,475","12,491","7,209","4,480","2,212","2,505","1,744","1,697","1,952",907,"2,219",0,423,"1,628",338,144,604,"3,420","2,249",171,"1,083",177,114,0,143,0,70,143,74,"3,151",0,0,21,0,0,115,0,"2,676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ogden-Clearfield, UT Metro Area","547,184","6,998","4,641","3,076","3,733","2,810","2,249","3,456","1,953","2,849","2,991","2,169","2,534","1,732","1,801","4,864","1,946",401,148,0,682,"1,145","3,557","5,383","2,941","2,894","3,802","2,326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palm Bay-Melbourne-Titusville, FL Metro Area","543,376",0,"2,070","1,627","1,820","2,676","2,032","1,210","1,786","3,581","2,966","2,837","3,444","2,711","1,831","2,738",0,0,"2,226",0,"1,616","1,216","1,879","3,020","2,330","2,140","1,971","2,293","2,742",0,727,431,0,"1,562","1,685","3,356",0,0,298,0,"1,265","2,544","2,586","2,670","1,580",841,945,"1,164",0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jackson, MS Metro Area","539,057",364,"3,632","2,619","2,890","2,802","1,838",829,"1,602","1,574","1,462",882,812,573,258,209,127,0,52,82,35,0,38,31,918,276,0,0,30,25,166,0,0,661,0,40,0,0,29,36,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chattanooga, TN-GA Metro Area","528,143","3,425","2,724","2,325","2,054","2,247","1,593","1,522","1,271",798,"1,144","1,074","1,018",598,472,659,542,264,152,54,93,25,184,202,542,0,114,0,81,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
